Energy (eV)	Intensity
-4.35	0.00E+00
-4.34	0.00E+00
-4.33	0.00E+00
-4.32	0
-4.31	0.00E+00
-4.3	0.00E+00
-4.29	0.00E+00
-4.28	0.00E+00
-4.27	0.00E+00
-4.26	0.00E+00
-4.25	0.00E+00
-4.24	0.00E+00
-4.23	0.00E+00
-4.22	0.00E+00
-4.21	0.00E+00
-4.2	0.00E+00
-4.19	0.00E+00
-4.18	0.00E+00
-4.17	6.08E+01
-4.16	7.63E+01
-4.15	6.50E+01
-4.14	3.52E+01
-4.13	6.99E+01
-4.12	6.87E+01
-4.11	7.39E+01
-4.1	7.25E+01
-4.09	5.61E+01
-4.08	6.93E+01
-4.07	6.75E+01
-4.06	8.61E+01
-4.05	7.84E+01
-4.04	6.17E+01
-4.03	5.35E+01
-4.02	4.14E+01
-4.01	3.39E+01
-4	5.35E+01
-3.99	4.51E+01
-3.98	4.22E+01
-3.97	5.97E+01
-3.96	5.17E+01
-3.95	3.93E+01
-3.94	5.14E+01
-3.93	6.44E+01
-3.92	6.31E+01
-3.91	6.12E+01
-3.9	8.86E+01
-3.89	1.02E+02
-3.88	8.02E+01
-3.87	4.73E+01
-3.86	5.12E+01
-3.85	5.43E+01
-3.84	6.62E+01
-3.83	6.37E+01
-3.82	7.90E+01
-3.81	6.17E+01
-3.8	7.13E+01
-3.79	7.86E+01
-3.78	4.63E+01
-3.77	7.13E+01
-3.76	7.16E+01
-3.75	7.19E+01
-3.74	5.98E+01
-3.73	7.44E+01
-3.72	9.11E+01
-3.71	9.03E+01
-3.7	9.42E+01
-3.69	5.36E+01
-3.68	6.91E+01
-3.67	9.22E+01
-3.66	8.62E+01
-3.65	5.96E+01
-3.64	3.31E+01
-3.63	5.52E+01
-3.62	7.59E+01
-3.61	6.09E+01
-3.6	4.93E+01
-3.59	3.84E+01
-3.58	8.07E+01
-3.57	6.47E+01
-3.56	7.22E+01
-3.55	5.63E+01
-3.54	3.55E+01
-3.53	4.47E+01
-3.52	6.87E+01
-3.51	7.27E+01
-3.5	7.33E+01
-3.49	5.35E+01
-3.48	6.91E+01
-3.47	2.54E+01
-3.46	5.53E+01
-3.45	3.96E+01
-3.44	4.83E+01
-3.43	6.92E+01
-3.42	4.18E+01
-3.41	4.68E+01
-3.4	3.97E+01
-3.39	3.96E+01
-3.38	4.30E+01
-3.37	6.39E+01
-3.36	2.78E+01
-3.35	3.33E+01
-3.34	3.69E+01
-3.33	4.69E+01
-3.32	6.37E+01
-3.31	7.16E+01
-3.3	5.15E+01
-3.29	6.01E+01
-3.28	5.41E+01
-3.27	6.15E+01
-3.26	7.28E+01
-3.25	6.07E+01
-3.24	5.80E+01
-3.23	7.78E+01
-3.22	6.44E+01
-3.21	5.40E+01
-3.2	7.60E+01
-3.19	8.23E+01
-3.18	6.44E+01
-3.17	7.55E+01
-3.16	8.12E+01
-3.15	5.37E+01
-3.14	6.06E+01
-3.13	7.02E+01
-3.12	7.04E+01
-3.11	5.47E+01
-3.1	6.02E+01
-3.09	7.79E+01
-3.08	6.95E+01
-3.07	5.20E+01
-3.06	5.77E+01
-3.05	9.21E+01
-3.04	9.23E+01
-3.03	5.99E+01
-3.02	8.74E+01
-3.01	8.62E+01
-3	8.51E+01
-2.99	6.80E+01
-2.98	5.91E+01
-2.97	3.95E+01
-2.96	6.10E+01
-2.95	1.02E+02
-2.94	7.11E+01
-2.93	5.85E+01
-2.92	7.35E+01
-2.91	7.73E+01
-2.9	8.02E+01
-2.89	8.66E+01
-2.88	7.29E+01
-2.87	6.52E+01
-2.86	3.40E+01
-2.85	8.12E+01
-2.84	9.47E+01
-2.83	6.79E+01
-2.82	5.93E+01
-2.81	5.09E+01
-2.8	4.81E+01
-2.79	5.26E+01
-2.78	5.06E+01
-2.77	6.51E+01
-2.76	8.09E+01
-2.75	7.37E+01
-2.74	6.16E+01
-2.73	4.41E+01
-2.72	4.66E+01
-2.71	3.56E+01
-2.7	5.48E+01
-2.69	5.77E+01
-2.68	5.89E+01
-2.67	1.11E+02
-2.66	9.95E+01
-2.65	6.44E+01
-2.64	5.84E+01
-2.63	7.28E+01
-2.62	8.05E+01
-2.61	7.79E+01
-2.6	7.15E+01
-2.59	7.17E+01
-2.58	7.46E+01
-2.57	7.42E+01
-2.56	8.13E+01
-2.55	7.89E+01
-2.54	7.80E+01
-2.53	7.93E+01
-2.52	6.77E+01
-2.51	8.63E+01
-2.5	1.11E+02
-2.49	7.38E+01
-2.48	8.85E+01
-2.47	1.00E+02
-2.46	8.06E+01
-2.45	7.77E+01
-2.44	7.04E+01
-2.43	7.84E+01
-2.42	8.54E+01
-2.41	8.91E+01
-2.4	9.82E+01
-2.39	1.11E+02
-2.38	7.84E+01
-2.37	6.63E+01
-2.36	6.50E+01
-2.35	5.87E+01
-2.34	7.30E+01
-2.33	8.71E+01
-2.32	1.07E+02
-2.31	8.03E+01
-2.3	7.32E+01
-2.29	7.62E+01
-2.28	9.81E+01
-2.27	1.08E+02
-2.26	7.87E+01
-2.25	9.49E+01
-2.24	8.60E+01
-2.23	7.93E+01
-2.22	7.54E+01
-2.21	8.97E+01
-2.2	9.07E+01
-2.19	9.19E+01
-2.18	8.64E+01
-2.17	8.75E+01
-2.16	1.12E+02
-2.15	1.02E+02
-2.14	1.06E+02
-2.13	1.11E+02
-2.12	6.49E+01
-2.11	6.52E+01
-2.1	7.94E+01
-2.09	7.25E+01
-2.08	9.21E+01
-2.07	1.02E+02
-2.06	9.61E+01
-2.05	1.41E+02
-2.04	1.04E+02
-2.03	8.92E+01
-2.02	9.94E+01
-2.01	7.92E+01
-2	6.14E+01
-1.99	8.93E+01
-1.98	9.58E+01
-1.97	1.15E+02
-1.96	1.33E+02
-1.95	1.17E+02
-1.94	1.01E+02
-1.93	1.15E+02
-1.92	1.07E+02
