Iteration number	SNR plasmon
0.0	0.212809283935
1.0	0.452074864425
2.0	0.70078481593
3.0	0.940276395018
4.0	1.16448026909
5.0	1.37295796467
6.0	1.56785725189
7.0	1.75248781624
8.0	1.92995185502
9.0	2.1031621892
10.0	2.27447156157
11.0	2.44559797045
12.0	2.61779618387
13.0	2.79188890217
14.0	2.96851286941
15.0	3.14806129194
16.0	3.33075272205
17.0	3.51645917946
18.0	3.70534396718
19.0	3.88830137543
20.0	4.05807904349
21.0	4.2183426794
22.0	4.36407295965
23.0	4.50464842569
24.0	4.64561002202
25.0	4.78528288271
26.0	4.9243630829
27.0	5.06337927557
28.0	5.19437651806
29.0	5.32314562373
30.0	5.45048140485
31.0	5.57595058685
32.0	5.69906038549
33.0	5.82275033728
34.0	5.94607631626
35.0	6.06974249608
36.0	6.19373944464
37.0	6.31735026419
38.0	6.44111176197
39.0	6.56266026737
40.0	6.68318620796
41.0	6.80413561733
42.0	6.92341182683
43.0	7.04242175221
44.0	7.16196543386
45.0	7.28203662586
46.0	7.4011505509
47.0	7.51872945202
48.0	7.63580394445
49.0	7.75195562053
50.0	7.86555118386
51.0	7.97939721945
52.0	8.09223887759
53.0	8.20493664826
54.0	8.3175392008
55.0	8.42934917978
56.0	8.53947593247
57.0	8.64254221516
58.0	8.74540751434
59.0	8.84788846917
60.0	8.94964936237
61.0	9.05042971944
62.0	9.15107819197
63.0	9.2507214513
64.0	9.34974768232
65.0	9.44817471367
66.0	9.54589281541
67.0	9.64172322735
68.0	9.73720175492
69.0	9.8256866066
70.0	9.91071165242
71.0	9.99253628815
72.0	10.0736058555
73.0	10.1543358327
74.0	10.2344873412
75.0	10.3139757661
76.0	10.3930970525
77.0	10.4501828744
78.0	10.5018753102
79.0	10.5532815341
80.0	10.6044700797
81.0	10.6554115714
82.0	10.7061269967
83.0	10.756295646
84.0	10.798928664
85.0	10.8328139372
86.0	10.8665816135
87.0	10.9003772601
88.0	10.9341880042
89.0	10.9677343821
90.0	11.00094409
91.0	11.0179081349
92.0	11.0258561229
93.0	11.0338586769
94.0	11.0421599712
95.0	11.0506731562
96.0	11.0592433743
97.0	11.0678565988
98.0	11.076303321
99.0	11.0849666211
100.0	11.0937630279
101.0	11.1029260284
102.0	11.1124214514
103.0	11.1222830709
104.0	11.1315872109
105.0	11.1407920748
106.0	11.1491582915
107.0	11.1577456433
108.0	11.166713327
109.0	11.1759380905
110.0	11.1854437107
111.0	11.1951826783
112.0	11.2047111792
113.0	11.2142344872
114.0	11.2241228752
115.0	11.2343656348
116.0	11.2353480383
117.0	11.2271336228
118.0	11.2178443315
119.0	11.2090720607
120.0	11.2007318863
121.0	11.1928867297
122.0	11.1790118396
123.0	11.1645227043
124.0	11.1502184897
125.0	11.1362599388
126.0	11.1227916466
127.0	11.1097329799
128.0	11.0969884888
129.0	11.0846935532
130.0	11.0726590505
131.0	11.0607565233
132.0	11.0491809
133.0	11.0379181192
134.0	11.0270598825
135.0	11.0165880827
136.0	11.0065473867
137.0	10.9969294226
138.0	10.9877049487
139.0	10.9788266621
140.0	10.9703481459
141.0	10.9622617711
142.0	10.954560089
143.0	10.9472358256
144.0	10.9402818765
145.0	10.9336543917
146.0	10.9272670979
147.0	10.9212328296
148.0	10.9155450184
149.0	10.90993232
