Iteration number	SNR ZLP
1.0	0.890705458029
2.0	1.05589227136
3.0	1.21257643522
4.0	1.36428727465
5.0	1.51308255264
6.0	1.66029706399
7.0	1.80686327824
8.0	1.9534707517
9.0	2.10065385598
10.0	2.24884361646
11.0	2.39839997716
12.0	2.54963271753
13.0	2.70281549068
14.0	2.85819554671
15.0	3.01600067048
16.0	3.17644427421
17.0	3.33972923812
18.0	3.5060508826
19.0	3.67559932492
20.0	3.84856139208
21.0	4.02512220831
22.0	4.20546654126
23.0	4.38977996769
24.0	4.57824990361
25.0	4.77106653298
26.0	4.96842366122
27.0	5.1705177798
28.0	5.37694106476
29.0	5.58847956414
30.0	5.80534620173
31.0	6.0277611235
32.0	6.25595240264
33.0	6.49015675753
34.0	6.73062028961
35.0	6.97759924757
36.0	7.23136082432
37.0	7.49218399283
38.0	7.7603603873
39.0	8.03619523616
40.0	8.32000835366
41.0	8.61177631008
42.0	8.91167124045
43.0	9.22053910631
44.0	9.53876446206
45.0	9.86675218356
46.0	10.2049289469
47.0	10.5537448267
48.0	10.9136750273
49.0	11.2852217597
50.0	11.6689162813
51.0	12.0653211151
52.0	12.4750324679
53.0	12.8986828701
54.0	13.3369440608
55.0	13.7905301471
56.0	14.2602010681
57.0	14.7467663987
58.0	15.2510895352
59.0	15.7740923057
60.0	16.3167600594
61.0	16.7934424429
62.0	17.2747197852
63.0	17.7687897482
64.0	18.2761062757
65.0	18.7971441763
66.0	19.3324003663
67.0	19.882395202
68.0	20.447673907
69.0	21.0288081048
70.0	21.6263974639
71.0	22.2410714673
72.0	22.8734913153
73.0	23.5243519762
74.0	24.1943843959
75.0	24.8843578835
76.0	25.5950826875
77.0	26.3274127819
78.0	27.0822488827
79.0	27.8605417155
80.0	28.6632955619
81.0	29.4915721104
82.0	30.3464946436
83.0	31.2292525981
84.0	32.1411065328
85.0	33.0833935531
86.0	34.057533238
87.0	35.0650341253
88.0	36.1075008195
89.0	37.1866417904
90.0	38.3042779444
91.0	39.462352058
92.0	40.6188007063
93.0	41.316068544
94.0	42.0204422417
95.0	42.7321589027
96.0	43.4512676706
97.0	44.1778177973
98.0	44.9118586496
99.0	45.6534397167
100.0	46.4026106167
101.0	47.1594211053
102.0	47.9239210827
103.0	48.6961606023
104.0	49.4761898796
105.0	50.1472857409
106.0	50.2325760995
107.0	50.3161161283
108.0	50.217291405
109.0	49.8895191065
110.0	49.5714708083
111.0	49.262781817
112.0	48.9631045012
113.0	48.6721073438
114.0	48.3894740549
115.0	48.1149027398
116.0	47.8481051185
117.0	47.5888057942
118.0	47.3367415659
119.0	47.0916607834
120.0	46.853322741
121.0	46.6214971083
122.0	46.3959633943
123.0	46.1765104435
124.0	45.9629359621
125.0	45.7550460713
126.0	45.5526548868
127.0	45.355584123
128.0	45.1636627188
129.0	44.9767264857
130.0	44.7946177753
131.0	44.6171851651
132.0	44.4442831628
133.0	44.2757719257
134.0	44.1115169962
135.0	43.9513890517
136.0	43.7952636676
137.0	43.6430210935
138.0	43.4945460407
139.0	43.3497274816
140.0	43.2084584595
141.0	43.0706359075
142.0	42.936160478
143.0	42.8049363801
144.0	42.6768712254
145.0	42.551875882
146.0	42.4298643356
147.0	42.3107535574
148.0	42.1944633783
149.0	42.0809163706
150.0	41.9700377333
151.0	41.763761799
152.0	41.5521421683
153.0	41.3467100681
154.0	41.1472347006
155.0	40.9534963903
156.0	40.765285922
157.0	40.582403925
158.0	40.4046603003
159.0	40.231873688
160.0	40.0638709702
161.0	39.9004868083
162.0	39.7415632102
163.0	39.5869491274
164.0	39.4365000771
165.0	39.2900777895
166.0	39.1475498775
167.0	38.9450869494
168.0	38.7381197643
169.0	38.5372101561
170.0	38.342128895
171.0	38.1526579754
172.0	37.9685899367
173.0	37.7897272334
174.0	37.6158816494
175.0	37.4468737531
176.0	37.2825323911
177.0	37.1226942161
178.0	36.9672032466
179.0	36.8159104562
180.0	36.6686733908
181.0	36.5253558099
182.0	36.3858273513
183.0	36.2499632181
184.0	36.1176438848
185.0	35.9887548219
186.0	35.8631862379
187.0	35.740832837
188.0	35.6215935918
189.0	35.5053715289
190.0	35.3920735284
191.0	35.2816101346
192.0	35.1738953776
193.0	35.0688466058
194.0	34.9663843275
195.0	34.8664320618
196.0	34.7689161976
197.0	34.673765861
198.0	34.5809127895
199.0	34.4902912132
200.0	34.4018377424
201.0	34.3154912616
202.0	34.2311928288
203.0	34.14888558
204.0	34.0685146393
205.0	33.9900270328
206.0	33.9133716076
207.0	33.8384989549
208.0	33.7653613365
209.0	33.6939126152
210.0	33.6241081892
211.0	33.5559049289
212.0	33.4892611172
213.0	33.4241363927
214.0	33.3604916958
215.0	33.2982892167
216.0	33.2374923467
217.0	33.1780656312
218.0	33.1199747252
219.0	33.0631863507
220.0	33.0076682561
221.0	32.9533891774
222.0	32.9003188012
223.0	32.8484277296
224.0	32.7976874458
225.0	32.7480702825
226.0	32.6995493907
227.0	32.6520987102
228.0	32.6056929413
229.0	32.5603075179
230.0	32.5159185812
231.0	32.4725029555
232.0	32.430038124
233.0	32.3885022062
234.0	32.3478739359
235.0	32.3081326404
236.0	32.2692582204
237.0	32.2312311307
238.0	32.1940323616
239.0	32.1576434214
240.0	32.1220463191
241.0	32.087223548
242.0	32.0531580701
243.0	32.0198333008
244.0	31.9872330946
245.0	31.9553417308
246.0	31.9241439004
247.0	31.8936246925
248.0	31.8637695828
249.0	31.8345644206
250.0	31.8059954179
251.0	31.7780491381
252.0	31.750712485
253.0	31.7239726931
