Iteration number	SNR ZLP
0.0	0.707593477686
1.0	0.887522393224
2.0	1.05169764578
3.0	1.2073085781
4.0	1.35787476706
5.0	1.50544535034
6.0	1.65134702846
7.0	1.79650437346
8.0	1.94159902381
9.0	2.08715726267
10.0	2.23360174802
11.0	2.38128369546
12.0	2.5305037288
13.0	2.68152586085
14.0	2.83458716356
15.0	2.98990465385
16.0	3.1476803341
17.0	3.30810497906
18.0	3.47136105189
19.0	3.63762500183
20.0	3.80706911449
21.0	3.97986303269
22.0	4.15617503135
23.0	4.33617310685
24.0	4.52002592516
25.0	4.70790366219
26.0	4.89997876202
27.0	5.09642663291
28.0	5.29695559467
29.0	5.50206542479
30.0	5.71206218719
31.0	5.92713651336
32.0	6.14748488319
33.0	6.37331017956
34.0	6.60482224844
35.0	6.84223846961
36.0	7.08578434271
37.0	7.33569409315
38.0	7.59221130215
39.0	7.8555895654
40.0	8.12609318453
41.0	8.4038434269
42.0	8.68858897162
43.0	8.98126787926
44.0	9.28219082323
45.0	9.5916830124
46.0	9.91008515533
47.0	10.237754492
48.0	10.5750658997
49.0	10.9224130806
50.0	11.2802098384
51.0	11.6488914536
52.0	12.0289161665
53.0	12.4207667785
54.0	12.8249523845
55.0	13.2420102478
56.0	13.672507834
57.0	14.1170450187
58.0	14.5762564874
59.0	15.0508143484
60.0	15.5414309812
61.0	16.0488621447
62.0	16.5739103758
63.0	17.1174287092
64.0	17.5907083501
65.0	18.0718069334
66.0	18.5648318298
67.0	19.0701644219
68.0	19.5882016203
69.0	20.1193566837
70.0	20.6640600897
71.0	21.2227604616
72.0	21.7959255543
73.0	22.3840433046
74.0	22.9876229505
75.0	23.6071962252
76.0	24.243318631
77.0	24.8965708013
78.0	25.5675599552
79.0	26.2569214551
80.0	26.9653204737
81.0	27.6934537803
82.0	28.4420516574
83.0	29.2118799573
84.0	30.0037423119
85.0	30.8184825087
86.0	31.6569870485
87.0	32.5201878999
88.0	33.4090654704
89.0	34.3246518122
90.0	35.2677846774
91.0	36.2369252347
92.0	37.2359756874
93.0	38.2661948291
94.0	39.3289121255
95.0	40.4255327638
96.0	41.5575431408
97.0	42.7265168353
98.0	43.6660694855
99.0	44.3667826696
100.0	45.0739260016
101.0	45.7875209816
102.0	46.5075886951
103.0	47.2341498133
104.0	47.9672245932
105.0	48.7068328779
106.0	49.4529940978
107.0	50.2057272707
108.0	50.965051004
109.0	51.7309834951
110.0	52.5035425334
111.0	53.2827455021
112.0	53.8630892567
113.0	53.9628916905
114.0	54.0613617185
115.0	54.1585639025
116.0	54.2545599667
117.0	54.3494089175
118.0	54.4431671591
119.0	54.3274607377
120.0	54.0538685144
121.0	53.78847497
122.0	53.5309960465
123.0	53.2811602054
124.0	53.0387077627
125.0	52.8033902658
126.0	52.5749699077
127.0	52.3532189764
128.0	52.1379193384
129.0	51.9288619516
130.0	51.7258464073
131.0	51.5286804999
132.0	51.3371798202
133.0	51.1511673728
134.0	50.9704732156
135.0	50.7949341193
136.0	50.624393246
137.0	50.4586998463
