Energy (eV)	Intensity
-4.00E-01	4.02E-218
-3.90E-01	2.61E-205
-3.80E-01	6.21E-193
-3.70E-01	5.45E-181
-3.60E-01	1.76E-169
-3.50E-01	2.09E-158
-3.40E-01	9.12E-148
-3.30E-01	1.46E-137
-3.20E-01	8.66E-128
-3.10E-01	1.88E-118
-3.00E-01	1.51E-109
-2.90E-01	4.43E-101
-2.80E-01	4.80E-93
-2.70E-01	1.91E-85
-2.60E-01	2.80E-78
-2.50E-01	1.51E-71
-2.40E-01	3.01E-65
-2.30E-01	2.22E-59
-2.20E-01	6.15E-54
-2.10E-01	6.58E-49
-2.00E-01	2.91E-44
-1.90E-01	5.99E-40
-1.80E-01	6.57E-36
-1.70E-01	4.18E-32
-1.60E-01	1.60E-28
-1.50E-01	3.72E-25
-1.40E-01	5.24E-22
-1.30E-01	4.48E-19
-1.20E-01	2.32E-16
-1.10E-01	7.29E-14
-1.00E-01	1.39E-11
-9.00E-02	1.60E-09
-8.00E-02	1.13E-07
-7.00E-02	4.78E-06
-6.00E-02	1.23E-04
-5.00E-02	1.93E-03
-4.00E-02	1.83E-02
-3.00E-02	1.05E-01
-2.00E-02	3.68E-01
-1.00E-02	7.79E-01
1.98E-16	1.00E+00
1.00E-02	7.79E-01
2.00E-02	3.68E-01
3.00E-02	1.06E-01
4.00E-02	1.86E-02
5.00E-02	2.31E-03
6.00E-02	5.62E-04
7.00E-02	5.18E-04
8.00E-02	6.02E-04
9.00E-02	7.13E-04
1.00E-01	8.58E-04
1.10E-01	1.06E-03
1.20E-01	1.34E-03
1.30E-01	1.77E-03
1.40E-01	2.46E-03
1.50E-01	3.67E-03
1.60E-01	5.84E-03
1.70E-01	9.13E-03
1.80E-01	1.21E-02
1.90E-01	1.33E-02
2.00E-01	1.22E-02
2.10E-01	9.03E-03
2.20E-01	5.46E-03
2.30E-01	3.14E-03
2.40E-01	1.92E-03
2.50E-01	1.26E-03
2.60E-01	8.78E-04
2.70E-01	6.42E-04
2.80E-01	4.87E-04
2.90E-01	3.80E-04
3.00E-01	3.04E-04
3.10E-01	2.49E-04
3.20E-01	2.07E-04
3.30E-01	1.75E-04
3.40E-01	1.50E-04
3.50E-01	1.31E-04
3.60E-01	1.16E-04
3.70E-01	1.04E-04
3.80E-01	9.40E-05
3.90E-01	8.65E-05
4.00E-01	8.08E-05
4.10E-01	7.65E-05
4.20E-01	7.35E-05
4.30E-01	7.17E-05
4.40E-01	7.10E-05
4.50E-01	7.14E-05
4.60E-01	7.29E-05
4.70E-01	7.57E-05
4.80E-01	7.99E-05
4.90E-01	8.56E-05
5.00E-01	9.34E-05
5.10E-01	1.04E-04
5.20E-01	1.17E-04
5.30E-01	1.35E-04
5.40E-01	1.59E-04
5.50E-01	1.93E-04
5.60E-01	2.41E-04
5.70E-01	3.13E-04
5.80E-01	4.28E-04
5.90E-01	6.29E-04
6.00E-01	1.02E-03
6.10E-01	1.85E-03
6.20E-01	3.62E-03
6.30E-01	6.35E-03
6.40E-01	7.94E-03
6.50E-01	6.61E-03
6.60E-01	4.03E-03
6.70E-01	2.19E-03
6.80E-01	1.20E-03
6.90E-01	7.04E-04
7.00E-01	4.60E-04
7.10E-01	3.26E-04
7.20E-01	2.45E-04
7.30E-01	1.91E-04
7.40E-01	1.53E-04
7.50E-01	1.26E-04
7.60E-01	1.06E-04
7.70E-01	9.05E-05
7.80E-01	7.84E-05
7.90E-01	6.88E-05
8.00E-01	6.11E-05
8.10E-01	5.48E-05
8.20E-01	4.96E-05
8.30E-01	4.53E-05
8.40E-01	4.18E-05
8.50E-01	3.89E-05
8.60E-01	3.64E-05
8.70E-01	3.45E-05
8.80E-01	3.29E-05
8.90E-01	3.17E-05
9.00E-01	3.08E-05
9.10E-01	3.03E-05
9.20E-01	3.00E-05
9.30E-01	3.01E-05
9.40E-01	3.06E-05
9.50E-01	3.15E-05
9.60E-01	3.28E-05
9.70E-01	3.47E-05
9.80E-01	3.73E-05
9.90E-01	4.08E-05
1.00E+00	4.56E-05
1.01E+00	5.20E-05
1.02E+00	6.10E-05
1.03E+00	7.36E-05
1.04E+00	9.23E-05
1.05E+00	1.21E-04
1.06E+00	1.71E-04
1.07E+00	2.64E-04
1.08E+00	4.60E-04
1.09E+00	8.31E-04
1.10E+00	1.42E-03
1.11E+00	2.14E-03
1.12E+00	2.43E-03
1.13E+00	1.88E-03
1.14E+00	1.04E-03
1.15E+00	5.15E-04
1.16E+00	2.87E-04
1.17E+00	1.81E-04
1.18E+00	1.27E-04
1.19E+00	9.45E-05
1.20E+00	7.40E-05
1.21E+00	6.01E-05
1.22E+00	5.02E-05
1.23E+00	4.30E-05
1.24E+00	3.75E-05
1.25E+00	3.34E-05
1.26E+00	3.01E-05
1.27E+00	2.76E-05
1.28E+00	2.57E-05
1.29E+00	2.42E-05
1.30E+00	2.31E-05
1.31E+00	2.23E-05
1.32E+00	2.18E-05
1.33E+00	2.16E-05
1.34E+00	2.18E-05
1.35E+00	2.22E-05
1.36E+00	2.30E-05
1.37E+00	2.42E-05
1.38E+00	2.59E-05
1.39E+00	2.83E-05
1.40E+00	3.15E-05
1.41E+00	3.60E-05
1.42E+00	4.22E-05
1.43E+00	5.12E-05
1.44E+00	6.46E-05
1.45E+00	8.60E-05
1.46E+00	1.23E-04
1.47E+00	1.97E-04
1.48E+00	3.55E-04
1.49E+00	6.36E-04
1.50E+00	9.75E-04
1.51E+00	1.26E-03
1.52E+00	1.29E-03
1.53E+00	9.65E-04
1.54E+00	5.33E-04
1.55E+00	2.72E-04
1.56E+00	1.58E-04
1.57E+00	1.04E-04
1.58E+00	7.48E-05
1.59E+00	5.73E-05
1.60E+00	4.59E-05
1.61E+00	3.81E-05
1.62E+00	3.26E-05
1.63E+00	2.86E-05
1.64E+00	2.56E-05
1.65E+00	2.35E-05
1.66E+00	2.19E-05
1.67E+00	2.08E-05
1.68E+00	2.02E-05
1.69E+00	1.99E-05
1.70E+00	2.01E-05
1.71E+00	2.07E-05
1.72E+00	2.17E-05
1.73E+00	2.34E-05
1.74E+00	2.60E-05
1.75E+00	2.98E-05
1.76E+00	3.54E-05
1.77E+00	4.40E-05
1.78E+00	5.81E-05
1.79E+00	8.33E-05
1.80E+00	0.00013392900127
1.81E+00	0.000240528144863
1.82E+00	0.000465065563614
1.83E+00	0.000807252105071
1.84E+00	0.001001507166769
1.85E+00	0.000822939087131
1.86E+00	0.000488802914363
1.87E+00	0.000260066000281
1.88E+00	0.000144409035439
1.89E+00	8.80E-05
1.90E+00	6.02E-05
1.91E+00	4.48E-05
1.92E+00	3.54E-05
1.93E+00	2.94E-05
1.94E+00	2.53E-05
1.95E+00	2.24E-05
1.96E+00	2.05E-05
1.97E+00	1.93E-05
1.98E+00	1.87E-05
1.99E+00	1.85E-05
2.00E+00	1.88E-05
2.01E+00	1.98E-05
2.02E+00	2.14E-05
2.03E+00	2.39E-05
2.04E+00	2.79E-05
2.05E+00	3.42E-05
2.06E+00	4.46E-05
2.07E+00	6.33E-05
2.08E+00	0.000100906828211
2.09E+00	0.00017923210214
2.10E+00	0.000340511323782
2.11E+00	0.00058292033622
2.12E+00	0.000718687184645
2.13E+00	0.000589431318462
2.14E+00	0.000350397061572
2.15E+00	0.000187459036479
2.16E+00	0.00010546591088
2.17E+00	6.55E-05
2.18E+00	4.57E-05
2.19E+00	3.49E-05
2.20E+00	2.84E-05
2.21E+00	2.44E-05
2.22E+00	2.19E-05
2.23E+00	2.05E-05
2.24E+00	2.00E-05
2.25E+00	2.04E-05
2.26E+00	2.17E-05
2.27E+00	2.43E-05
2.28E+00	2.88E-05
2.29E+00	3.69E-05
2.30E+00	5.24E-05
2.31E+00	8.52E-05
2.32E+00	0.000159381522807
2.33E+00	0.00028193701324
2.34E+00	0.000377703196783
2.35E+00	0.000374330769182
2.36E+00	0.000299209650641
2.37E+00	0.000200344090106
2.38E+00	0.000114514388479
2.39E+00	6.54E-05
2.40E+00	4.28E-05
2.41E+00	3.15E-05
2.42E+00	2.52E-05
2.43E+00	2.16E-05
2.44E+00	1.96E-05
2.45E+00	1.87E-05
2.46E+00	1.88E-05
2.47E+00	2.00E-05
2.48E+00	2.26E-05
2.49E+00	2.74E-05
2.50E+00	3.67E-05
2.51E+00	5.60E-05
2.52E+00	9.88E-05
2.53E+00	0.000171330615112
2.54E+00	0.000241791506377
2.55E+00	0.000273356970691
2.56E+00	0.000253143903563
2.57E+00	0.000183133994419
2.58E+00	0.000105249362485
2.59E+00	5.89E-05
2.60E+00	3.81E-05
2.61E+00	2.83E-05
2.62E+00	2.33E-05
2.63E+00	2.10E-05
2.64E+00	2.04E-05
2.65E+00	2.15E-05
2.66E+00	2.48E-05
2.67E+00	3.20E-05
2.68E+00	4.76E-05
2.69E+00	7.95E-05
2.70E+00	0.000140509424649
2.71E+00	0.000227468214598
2.72E+00	0.000273133954123
2.73E+00	0.000221802344475
2.74E+00	0.000131890278722
2.75E+00	7.23E-05
2.76E+00	4.36E-05
2.77E+00	3.01E-05
2.78E+00	2.40E-05
2.79E+00	2.15E-05
2.80E+00	2.16E-05
2.81E+00	2.43E-05
2.82E+00	3.16E-05
2.83E+00	4.85E-05
2.84E+00	8.67E-05
2.85E+00	0.000148086072355
2.86E+00	0.000188896608132
2.87E+00	0.00017019100587
2.88E+00	0.000120139127605
2.89E+00	7.59E-05
2.90E+00	4.62E-05
2.91E+00	3.05E-05
2.92E+00	2.39E-05
2.93E+00	2.19E-05
2.94E+00	2.34E-05
2.95E+00	2.97E-05
2.96E+00	4.57E-05
2.97E+00	7.40E-05
2.98E+00	0.000103760398167
2.99E+00	0.000121435550475
3.00E+00	0.00011727529349
3.01E+00	8.79E-05
3.02E+00	5.31E-05
3.03E+00	3.26E-05
3.04E+00	2.45E-05
3.05E+00	2.27E-05
3.06E+00	2.60E-05
3.07E+00	3.67E-05
3.08E+00	6.07E-05
3.09E+00	9.74E-05
3.10E+00	0.000118752720682
3.11E+00	0.000100567229817
3.12E+00	6.53E-05
3.13E+00	4.03E-05
3.14E+00	2.75E-05
3.15E+00	2.30E-05
3.16E+00	2.51E-05
3.17E+00	3.40E-05
3.18E+00	5.21E-05
3.19E+00	7.73E-05
3.20E+00	8.99E-05
3.21E+00	7.38E-05
3.22E+00	4.69E-05
3.23E+00	3.01E-05
3.24E+00	2.43E-05
3.25E+00	2.65E-05
3.26E+00	3.80E-05
3.27E+00	5.76E-05
3.28E+00	6.95E-05
3.29E+00	6.05E-05
3.30E+00	4.21E-05
3.31E+00	2.93E-05
3.32E+00	2.45E-05
3.33E+00	2.70E-05
3.34E+00	3.55E-05
3.35E+00	4.67E-05
