Energy (eV)	Intensity
-0.40	0.00256392521789233
-0.39	0.00258910159057920
-0.38	0.00269704759909014
-0.37	0.00273114492799517
-0.36	0.00313125044345140
-0.35	0.00305531985119908
-0.34	0.00341799801164024
-0.33	0.00353930428954046
-0.32	0.00393157900841117
-0.31	0.00401176679172366
-0.30	0.00429230149444839
-0.29	0.00452803395047390
-0.28	0.00497038547826898
-0.27	0.00535920045969834
-0.26	0.00612837990916680
-0.25	0.00638510309926610
-0.24	0.00691388523366326
-0.23	0.00762216341139233
-0.22	0.00832122769210813
-0.21	0.00919328844158454
-0.20	0.01038434475278620
-0.19	0.01146456264485000
-0.18	0.01300542841781750
-0.17	0.01518051443815810
-0.16	0.01738206939911410
-0.15	0.02073186587884270
-0.14	0.02479385251158760
-0.13	0.03023947041377530
-0.12	0.03818235306226930
-0.11	0.04973844523386320
-0.10	0.06806950346822790
-0.09	0.09768613970078370
-0.08	0.14513795632620400
-0.07	0.21812386821208600
-0.06	0.32341188864165500
-0.05	0.46292786231038700
-0.04	0.62854808393296900
-0.03	0.79738815797175400
-0.02	0.93481675597148200
-0.01	0.99999923506146800
0.00	0.96729420065271900
0.01	0.84293989290669000
0.02	0.66492765358894000
0.03	0.48204866235632300
0.04	0.32925878830302100
0.05	0.21955287097688500
0.06	0.14797922881740800
0.07	0.10307963779461300
0.08	0.07532664701570280
0.09	0.05825339157808050
0.10	0.04731401174149250
0.11	0.04052959866009160
0.12	0.03623481305953090
0.13	0.03394250842546350
0.14	0.03301291331741770
0.15	0.03271635304214630
0.16	0.03290389371296660
0.17	0.03298462561146750
0.18	0.03198181711457930
0.19	0.03041446796126700
0.20	0.02756873524058050
0.21	0.02400394801153390
0.22	0.02048651746524260
0.23	0.01690945759891180
0.24	0.01423057006969030
0.25	0.01189987760571540
0.26	0.01023372764370300
0.27	0.00886526375089787
0.28	0.00763011193787258
0.29	0.00687609446936539
0.30	0.00620070460933424
0.31	0.00565269410602436
0.32	0.00546255108531091
0.33	0.00475663554595268
0.34	0.00452570833833185
0.35	0.00426211732175584
0.36	0.00421308517241094
0.37	0.00385233557034006
0.38	0.00358397016140279
0.39	0.00340096745739586
0.40	0.00330471801467758
0.41	0.00305824538800514
0.42	0.00294262078744575
0.43	0.00313915572105434
0.44	0.00312039573248998
0.45	0.00293248802563934
0.46	0.00297200893859563
0.47	0.00281883515312000
0.48	0.00274729558424209
0.49	0.00269934262543271
0.50	0.00260810435181097
0.51	0.00264207180146760
0.52	0.00279207535028398
0.53	0.00297871995077501
0.54	0.00306691190593445
0.55	0.00327849883209424
0.56	0.00383145143139134
0.57	0.00442883283162728
0.58	0.00536454933011206
0.59	0.00656272491340794
0.60	0.00801701352711799
